AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
01,Alabama,2,AL,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,720,12.1,0.376,0.28,NA,NA,*,"53,630",1.6,*,*,*,*,*,"38,620","47,310","56,930","60,890","62,950",TRUE,NA
02,Alaska,2,AK,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,430,3.0,1.450,1.09,NA,NA,*,"72,330",0.9,*,*,*,*,*,"49,280","61,640","77,920","77,920","98,580",TRUE,NA
04,Arizona,2,AZ,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"3,260",4.9,1.130,0.85,NA,NA,*,"54,440",0.7,*,*,*,*,*,"39,250","47,910","50,130","60,900","75,330",TRUE,NA
05,Arkansas,2,AR,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"1,380",1.7,1.159,0.87,NA,NA,*,"50,660",0.5,*,*,*,*,*,"37,560","46,890","48,160","60,130","61,640",TRUE,NA
06,California,2,CA,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"16,670",7.6,1.008,0.76,NA,NA,*,"80,520",3.4,*,*,*,*,*,"44,850","60,890","78,480","99,470","123,690",TRUE,NA
08,Colorado,2,CO,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"3,770",1.1,1.439,1.08,NA,NA,*,"61,620",1.0,*,*,*,*,*,"46,840","48,260","60,670","76,090","79,920",TRUE,NA
09,Connecticut,2,CT,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"2,740",4.3,1.740,1.31,NA,NA,*,"79,460",1.0,*,*,*,*,*,"49,120","61,820","78,310","97,620","103,870",TRUE,NA
10,Delaware,2,DE,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,810,15.6,1.870,1.41,NA,NA,*,"68,360",2.4,*,*,*,*,*,"49,120","58,880","63,440","79,120","88,940",TRUE,NA
11,District of Columbia,2,DC,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,950,7.7,1.431,1.08,NA,NA,*,"81,050",2.1,*,*,*,*,*,"60,590","61,580","77,310","97,980","109,800",TRUE,NA
12,Florida,2,FL,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"3,720",6.3,0.432,0.33,NA,NA,*,"63,720",2.2,*,*,*,*,*,"37,520","47,710","62,730","76,700","80,660",TRUE,NA
13,Georgia,2,GA,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"7,020",11.1,1.603,1.21,NA,NA,*,"68,380",2.5,*,*,*,*,*,"47,910","59,260","62,240","76,940","96,270",TRUE,NA
15,Hawaii,2,HI,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,220,2.0,0.405,0.31,NA,NA,*,"63,890",0.4,*,*,*,*,*,"60,550","60,550","63,930","64,550","76,030",TRUE,NA
16,Idaho,2,ID,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,540,20.1,0.711,0.54,NA,NA,*,"48,950",8.0,*,*,*,*,*,"19,740","37,720","48,070","60,320","75,830",TRUE,NA
17,Illinois,2,IL,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"10,350",4.9,1.842,1.39,NA,NA,*,"71,290",1.2,*,*,*,*,*,"47,740","57,550","63,130","81,430","99,470",TRUE,NA
18,Indiana,2,IN,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"2,990",6.8,1.002,0.75,NA,NA,*,"57,150",1.5,*,*,*,*,*,"37,790","47,000","49,120","62,490","79,120",TRUE,NA
19,Iowa,2,IA,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"2,110",10.5,1.419,1.07,NA,NA,*,"55,580",1.9,*,*,*,*,*,"37,980","47,310","59,620","62,070","77,150",TRUE,NA
20,Kansas,2,KS,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"1,380",3.2,1.029,0.78,NA,NA,*,"61,560",0.9,*,*,*,*,*,"46,840","48,450","60,410","75,740","78,460",TRUE,NA
21,Kentucky,2,KY,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"4,380",0.4,2.385,1.80,NA,NA,*,"54,900",0.4,*,*,*,*,*,"38,620","48,210","59,260","61,220","63,670",TRUE,NA
22,Louisiana,2,LA,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"5,060",0.9,2.818,2.12,NA,NA,*,"52,010",0.4,*,*,*,*,*,"47,310","47,920","49,730","60,130","61,640",TRUE,NA
23,Maine,2,ME,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,860,12.5,1.461,1.10,NA,NA,*,"55,620",2.2,*,*,*,*,*,"37,890","47,700","50,130","62,420","77,150",TRUE,NA
24,Maryland,2,MD,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"4,050",9.5,1.591,1.20,NA,NA,*,"69,190",3.3,*,*,*,*,*,"37,830","48,520","62,420","79,110","99,930",TRUE,NA
25,Massachusetts,2,MA,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"5,410",1.8,1.593,1.20,NA,NA,*,"81,940",0.5,*,*,*,*,*,"49,120","61,820","77,540","97,620","120,630",TRUE,NA
26,Michigan,2,MI,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"3,190",9.4,0.787,0.59,NA,NA,*,"59,580",3.1,*,*,*,*,*,"29,900","47,510","60,900","77,150","80,660",TRUE,NA
27,Minnesota,2,MN,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"3,150",7.8,1.152,0.87,NA,NA,*,"61,350",1.4,*,*,*,*,*,"47,310","48,500","60,650","76,340","78,970",TRUE,NA
28,Mississippi,2,MS,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"1,780",5.7,1.613,1.21,NA,NA,*,"47,600",0.8,*,*,*,*,*,"37,100","39,250","47,960","49,730","60,900",TRUE,NA
29,Missouri,2,MO,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"1,680",19.5,0.617,0.46,NA,NA,*,"47,730",4.2,*,*,*,*,*,"30,110","37,960","47,310","50,130","61,200",TRUE,NA
30,Montana,2,MT,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,460,17.0,0.984,0.74,NA,NA,*,"57,330",6.0,*,*,*,*,*,"35,510","47,580","59,260","76,010","77,360",TRUE,NA
31,Nebraska,2,NE,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"1,790",5.8,1.869,1.41,NA,NA,*,"60,330",1.7,*,*,*,*,*,"38,620","48,770","60,340","75,330","77,920",TRUE,NA
32,Nevada,2,NV,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"1,150",2.5,0.894,0.67,NA,NA,*,"58,130",0.6,*,*,*,*,*,"47,360","50,540","59,120","64,360","81,740",TRUE,NA
33,New Hampshire,2,NH,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"1,260",7.6,1.977,1.49,NA,NA,*,"61,780",2.4,*,*,*,*,*,"39,880","48,650","61,220","76,010","79,250",TRUE,NA
34,New Jersey,2,NJ,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"10,290",5.6,2.672,2.01,NA,NA,*,"72,140",1.1,*,*,*,*,*,"59,530","61,190","63,380","79,120","98,560",TRUE,NA
35,New Mexico,2,NM,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,790,10.2,1.019,0.77,NA,NA,*,"59,840",4.5,*,*,*,*,*,"29,530","47,920","60,360","65,020","96,790",TRUE,NA
36,New York,2,NY,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"18,510",7.7,2.136,1.61,NA,NA,*,"83,250",2.2,*,*,*,*,*,"48,770","61,450","78,050","99,150","127,330",TRUE,NA
37,North Carolina,2,NC,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"5,160",6.2,1.167,0.88,NA,NA,*,"51,670",1.2,*,*,*,*,*,"37,300","44,930","49,190","60,130","62,780",TRUE,NA
38,North Dakota,2,ND,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,490,5.5,1.252,0.94,NA,NA,*,"60,430",1.1,*,*,*,*,*,"47,310","48,260","60,040","75,940","77,920",TRUE,NA
39,Ohio,2,OH,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"8,490",8.8,1.633,1.23,NA,NA,*,"68,540",2.7,*,*,*,*,*,"46,010","49,130","70,900","77,690","97,480",TRUE,NA
40,Oklahoma,2,OK,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"1,680",3.4,1.080,0.81,NA,NA,*,"56,530",1.6,*,*,*,*,*,"30,080","47,280","55,590","74,580","77,920",TRUE,NA
41,Oregon,2,OR,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"1,460",11.3,0.802,0.60,NA,NA,*,"82,070",2.3,*,*,*,*,*,"50,890","63,200","78,520","99,470","105,570",TRUE,NA
42,Pennsylvania,2,PA,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"6,300",9.1,1.128,0.85,NA,NA,*,"66,320",1.4,*,*,*,*,*,"47,740","56,380","62,420","77,280","80,700",TRUE,NA
44,Rhode Island,2,RI,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,720,6.7,1.582,1.19,NA,NA,*,"73,360",1.4,*,*,*,*,*,"47,740","60,670","76,880","97,480","97,620",TRUE,NA
45,South Carolina,2,SC,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"1,710",8.7,0.829,0.62,NA,NA,*,"55,170",1.8,*,*,*,*,*,"37,940","47,280","49,240","61,220","77,250",TRUE,NA
46,South Dakota,2,SD,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,780,1.9,1.848,1.39,NA,NA,*,"48,620",0.6,*,*,*,*,*,"37,790","47,080","47,960","48,770","60,900",TRUE,NA
47,Tennessee,2,TN,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"4,380",1.8,1.468,1.11,NA,NA,*,"56,530",0.4,*,*,*,*,*,"46,700","47,960","50,130","63,670","75,940",TRUE,NA
48,Texas,2,TX,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"16,870",0.7,1.380,1.04,NA,NA,*,"60,030",0.4,*,*,*,*,*,"47,930","58,140","61,220","62,420","76,010",TRUE,NA
49,Utah,2,UT,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"1,400",12.0,0.899,0.68,NA,NA,*,"62,640",4.1,*,*,*,*,*,"37,560","47,450","60,220","78,180","96,560",TRUE,NA
50,Vermont,2,VT,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,600,11.1,2.121,1.60,NA,NA,*,"58,330",1.1,*,*,*,*,*,"38,400","48,280","60,040","61,640","76,820",TRUE,NA
51,Virginia,2,VA,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"5,460",2.0,1.456,1.10,NA,NA,*,"70,340",0.9,*,*,*,*,*,"47,360","50,030","62,420","79,120","103,870",TRUE,NA
53,Washington,2,WA,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"3,060",1.0,0.955,0.72,NA,NA,*,"80,510",0.4,*,*,*,*,*,"60,670","62,420","77,930","98,560","101,070",TRUE,NA
54,West Virginia,2,WV,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"2,770",8.7,4.207,3.17,NA,NA,*,"47,960",1.4,*,*,*,*,*,"30,110","38,400","47,560","59,140","61,410",TRUE,NA
55,Wisconsin,2,WI,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"2,310",9.8,0.838,0.63,NA,NA,*,"56,140",1.5,*,*,*,*,*,"44,090","47,740","58,500","62,420","76,700",TRUE,NA
56,Wyoming,2,WY,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,540,4.6,2.084,1.57,NA,NA,*,"63,200",0.7,*,*,*,*,*,"47,960","60,040","60,900","75,330","76,700",TRUE,NA
72,Puerto Rico,3,PR,000000,Cross-industry,cross-industry,1235,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,"4,200",2.3,4.977,3.75,NA,NA,*,"33,130",0.9,*,*,*,*,*,"28,900","29,430","29,510","37,010","46,350",TRUE,NA
